,GEOID
4742,29143
4745,29145
4748,29147
4751,29149
4754,29151
4757,29153
4760,29155
4763,29157
4766,29159
4769,29161
4772,29163
4775,29165
4778,29167
4781,29169
4784,29171
4787,29173
4790,29175
4793,29177
4796,29179
4799,29181
4802,29183
4805,29185
4808,29186
4811,29187
4814,29189
4817,29195
4820,29197
4823,29199
4826,29201
4829,29203
4832,29205
4835,29207
4838,29209
4841,29211
4844,29213
4847,29215
4850,29217
4853,29219
4856,29221
4859,29223
4862,29225
4865,29227
4868,29229
4871,29510
4877,30001
4880,30003
4883,30005
4886,30007
4889,30009
4892,30011
4895,30013
4898,30015
4901,30017
4904,30019
4907,30021
4910,30023
4913,30025
4916,30027
4919,30029
4922,30031
4925,30033
4928,30035
4931,30037
4934,30039
4937,30041
4940,30043
4943,30045
4946,30047
4949,30049
4952,30051
4955,30053
4958,30055
4961,30057
4964,30059
4967,30061
4970,30063
4973,30065
4976,30067
4979,30069
4982,30071
4985,30073
4988,30075
4991,30077
4994,30079
4997,30081
5000,30083
5003,30085
5006,30087
5009,30089
5012,30091
5015,30093
5018,30095
5021,30097
5024,30099
5027,30101
5030,30103
5033,30105
5036,30107
5039,30109
5042,30111
5048,31001
5051,31003
5054,31005
5057,31007
5060,31009
5063,31011
5066,31013
5069,31015
5072,31017
5075,31019
5078,31021
5081,31023
5084,31025
5087,31027
5090,31029
5093,31031
5096,31033
5099,31035
5102,31037
5105,31039
5108,31041
5111,31043
5114,31045
5117,31047
5120,31049
5123,31051
5126,31053
5129,31055
5132,31057
5135,31059
5138,31061
5141,31063
5144,31065
5147,31067
5150,31069
5153,31071
5156,31073
5159,31075
5162,31077
5165,31079
5168,31081
5171,31083
5174,31085
5177,31087
5180,31089
5183,31091
5186,31093
5189,31095
5192,31097
5195,31099
5198,31101
5201,31103
5204,31105
5207,31107
5210,31109
5213,31111
5216,31113
5219,31115
5222,31117
5225,31119
5228,31121
5231,31123
5234,31125
5237,31127
5240,31129
5243,31131
5246,31133
5249,31135
5252,31137
5255,31139
5258,31141
5261,31143
5264,31145
5267,31147
5270,31149
5273,31151
5276,31153
5279,31155
5282,31157
5285,31159
5288,31161
5291,31163
5294,31165
5297,31167
5300,31169
5303,31171
