GEO,GEOID
29087,5
29089,5
29091,5
29093,5
29095,5
29097,5
29099,5
29101,5
29103,5
29105,5
29107,5
29109,5
29111,5
29113,5
29115,5
29117,5
29119,5
31015,5
31017,5
31019,5
34033,5
34015,5
34017,5
34019,5
34021,5
34023,5
34025,5
34027,5
34029,5
34031,5
34035,5
35013,5
34037,5
34039,5
34041,5
35001,5
35003,5
35005,5
35006,5
35007,5
35009,5
34013,5
34011,5
34009,5
34007,5
32023,5
32027,5
32029,5
32031,5
32033,5
32510,5
33001,5
33003,5
33005,5
33007,5
33009,5
33011,5
33013,5
33015,5
33017,5
33019,5
34001,5
34003,5
34005,5
35011,5
35015,5
31021,5
36019,5
36001,5
36003,5
36005,5
36007,5
36009,5
36011,5
36013,5
36015,5
36017,5
36021,5
35017,5
36023,5
36025,5
36027,5
36029,5
36031,5
36033,5
36035,5
36037,5
36039,5
35061,5
35059,5
35057,5
35055,5
35019,5
35021,5
35023,5
35025,5
35027,5
35028,5
35029,5
35031,5
35033,5
35035,5
35037,5
35039,5
35041,5
35043,5
35045,5
35047,5
35049,5
35051,5
35053,5
32021,5
32019,5
32017,5
31087,5
31069,5
31071,5
31073,5
31075,5
31077,5
31079,5
31081,5
31083,5
31085,5
31089,5
32015,5
31091,5
31093,5
31095,5
31097,5
31099,5
31101,5
31103,5
31105,5
31107,5
31067,5
31065,5
31063,5
31061,5
31023,5
31025,5
31027,5
31029,5
31031,5
31033,5
31035,5
31037,5
31039,5
31041,5
31043,5
31045,5
31047,5
31049,5
31051,5
31053,5
31055,5
31057,5
31059,5
31109,5
31111,5
31113,5
31159,5
31163,5
31165,5
31167,5
31169,5
31171,5
31173,5
31175,5
31177,5
31179,5
31181,5
31183,5
31185,5
32001,5
32003,5
32005,5
32007,5
32009,5
32011,5
32013,5
31161,5
31157,5
31115,5
31155,5
31117,5
31119,5
31121,5
31123,5
31125,5
31127,5
31129,5
31131,5
31133,5
31135,5
31137,5
31139,5
31141,5
31143,5
31145,5
31147,5
31149,5
31151,5
31153,5
41029,5
41033,5
28149,5
48409,5
48391,5
48393,5
48395,5
48397,5
48399,5
48401,5
48403,5
48405,5
48407,5
48411,5
48433,5
48413,5
48415,5
48417,5
48419,5
48421,5
48423,5
48425,5
48427,5
48429,5
48389,5
48387,5
48385,5
48383,5
48345,5
48347,5
48349,5
48351,5
48353,5
48355,5
48357,5
48359,5
48361,5
48363,5
48365,5
48367,5
48369,5
48371,5
48373,5
48375,5
48377,5
48379,5
48381,5
48431,5
48435,5
48341,5
48503,5
48485,5
48487,5
48489,5
48491,5
48493,5
48495,5
48497,5
48499,5
48501,5
48505,5
48437,5
48507,5
49001,5
49003,5
49005,5
49007,5
49009,5
49011,5
49013,5
49015,5
48483,5
48481,5
48479,5
48477,5
48439,5
48441,5
48443,5
48445,5
48447,5
48449,5
48451,5
48453,5
48455,5
48457,5
48459,5
48461,5
48463,5
48465,5
48467,5
48469,5
48471,5
48473,5
48475,5
48343,5
48339,5
49019,5
48221,5
48203,5
48205,5
48207,5
48209,5
48211,5
48213,5
48215,5
48217,5
